Coder	Citation			Background Information			Eligibility Criteria							Search Procedures				Screening and Coding Procedures			MA Methods					Bias	Search Results			For each primary study.... Did the authors publish:					Reproducible results		Review size 		Comments	
1	"Hallion, L. S., & Ruscio, A. M. (2011). A meta-analysis of the effect of cognitive bias modification on anxiety and depression. Psychological bulletin, 137(6), 940."	2011	10.1037/a0024355	n	group differences	n	y	not sure	defined scope of experimental and control groups	NA	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	n	y	n	y	y	n	n	45	abstract		
1	"Naragon-Gainey, K., McMahon, T. P., & Chacko, T. P. (2017). The structure of common emotion regulation strategies: A meta-analytic examination. Psychological bulletin, 143(4), 384."	2017	10.1037/bul0000093	n	correlation	n	y	n	NA	NA	y	y	y	y	y	y	y	y	y	y	y	y	n	y	y	y	y	y	y	NA	y	n	y	y	y	n	280	p. 390		
1	"Fischer, P., Krueger, J. I., Greitemeyer, T., Vogrincic, C., Kastenmüller, A., Frey, D., ... & Kainbacher, M. (2011). The bystander-effect: a meta-analytic review on bystander intervention in dangerous and non-dangerous emergencies. Psychological bulletin, 137(4), 517."	2011	10.1037/a0023304	y	experimental	n	y	y	experimental & quasi-experimental studies	y	NA	y	y	y	y	n	y	y	y	y	y	y	y	y	n	y	n	n	y	n	y	n	y	y	n	n	53	p. 523		
1	"Hartwig, M., & Bond Jr, C. F. (2011). Why do lie-catchers fail? A lens model meta-analysis of human lie judgments. Psychological bulletin, 137(4), 643."	2011	10.1037/a0023589	n	correlation	n	n	n	NA	NA	y	y	y	y	y	n	n	n	n	y	y	y	y	y	y	n	n	y	y	NA	y	n	n	n	n	n	128	p. 648	"Multiple MAs, where MA2 compares data from MA1 with data from another published MA, and MA3 and MA4 are subset analyses of MA1. Therefore, judged as fulfilling citerium of all MAs being based on same search"	resolved
1	"Hostetter, A. B. (2011). When do gestures communicate? A meta-analysis. Psychological bulletin, 137(2), 297."	2011	10.1037/a0022128	n	experimental	n	y	n	NA	y	NA	y	y	y	y	n	y	y	y	y	y	y	y	y	n	y	n	n	y	n	y	n	y	y	n	n	63	abstract		
1	"Balliet, D., Mulder, L. B., & Van Lange, P. A. (2011). Reward, punishment, and cooperation: a meta-analysis. Psychological bulletin, 137(4), 594."	2011	10.1037/a0023489	y	experimental	n	y	not sure	"We included only studies that compared a reward or punishment condition to a control condition and excluded conditions when both reward and punishments were used simultaneously/ We excluded games that did not fit the strict criteria above, including ultimatum bargaining games, negotiations, trust games, and dictator games"	y	NA	y	y	y	y	n	y	n	n	y	y	n	y	y	n	y	n	y	y	n	y	n	y	y	n	n	76	p. 6		
1	"Murray, J., Farrington, D. P., & Sekol, I. (2012). Children's antisocial behavior, mental health, drug use, and educational performance after parental incarceration: a systematic review and meta-analysis. Psychological bulletin, 138(2), 175."	2012	10.1037/a0026407	y	correlation	n	y	not sure	"coded the basic study design (prospective, retrospective, or cross-sectional)"	NA	y	y	y	n	y	n	y	y	y	y	y	y	y	y	y	y	y	y	y	NA	y	n	y	y	n	n	40	abstract		
1	"Mathewson, K. J., Chow, C. H., Dobson, K. G., Pope, E. I., Schmidt, L. A., & Van Lieshout, R. J. (2017). Mental health of extremely low birth weight survivors: A systematic review and meta-analysis. Psychological bulletin, 143(4), 347."	2017	10.1037/bul0000091	y	group differences	y	y	y	"Observational designs such as case-control studies, and prospective
longitudinal and cross-sectional studies"	NA	y	y	y	y	y	n	n	y	y	y	y	y	y	y	y	y	y	y	y	y	y	n	y	y	n	n	41	351		
1	"Baas, M., Nijstad, B. A., Boot, N. C., & De Dreu, C. K. (2016). Mad genius revisited: Vulnerability to psychopathology, biobehavioral approach-avoidance, and creativity. Psychological bulletin, 142(6), 668."	2016	10.1037/bul0000049	y	correlation	n	y	n	NA	NA	y	y	y	y	y	y	y	y	y	y	y	n	y	y	y	y	y	y	y	NA	y	n	y	y	y	n	33	p. 7		
1	"Shields, G. S., Sazma, M. A., McCullough, A. M., & Yonelinas, A. P. (2017). The effects of acute stress on episodic memory: A meta-analysis and integrative review. Psychological bulletin, 143(6), 636."	2017	10.1037/bul0000100	y	experimental	n	y	not sure	"any independent (i.e., completely orthogonal) set of an experimental group and a control group that met the above inclusion criteria."	y	NA	y	y	y	y	y	n	y	y	y	y	y	y	y	y	y	y	y	y	n	y	n	y	y	n	n	113	abstract		
1	"Voyer, D., & Voyer, S. D. (2014). Gender differences in scholastic achievement: A meta-analysis. Psychological bulletin, 140(4), 1174."	2014	10.1037/a0036620	n	group differences	n	y	y	"When
a study reported on a longitudinal sample, only the first year of
data collection was used."	NA	y	y	y	y	y	n	y	y	y	y	y	y	y	y	y	y	y	y	y	n	y	n	y	y	n	n	369	abstract		
1	"Bezrukova, K., Spell, C. S., Perry, J. L., & Jehn, K. A. (2016). A meta-analytical integration of over 40 years of research on diversity training evaluation. Psychological bulletin, 142(11), 1227."	2016	10.1037/bul0000067	y	group differences	n	y	y	"Although survey
(retrospective) studies form a substantial body of work in this
literature, due to significant methodological weaknesses we do not
include these studies in our review"	NA	y	y	y	y	y	n	y	y	y	y	y	y	y	y	n	y	y	y	y	n	y	n	y	y	n	n	260	abstract		
1	"Robles, T. F., Slatcher, R. B., Trombello, J. M., & McGinn, M. M. (2014). Marital quality and health: A meta-analytic review. Psychological bulletin, 140(1), 140."	2014	10.1037/a0031859	n	correlation	n	n	y	We included both cross-sectional and longitudinal designs in the metaanalysis.	NA	y	y	y	y	y	n	n	n	y	y	y	y	y	y	y	y	y	y	y	NA	y	n	y	y	n	n	126	abstract		
1	"Von Stumm, S., & Ackerman, P. L. (2013). Investment and intellect: A review and meta-analysis. Psychological Bulletin, 139(4), 841"	2013	10.1037/a0030746	y	correlation	n	y	n	NA	NA	y	y	y	y	y	y	y	y	y	y	y	y	n	y	y	n	y	y	y	NA	y	n	y	n	n	n	34	abstract		
1	"Fitzgerald, R. J., & Price, H. L. (2015). Eyewitness identification across the life span: A meta-analysis of age differences. Psychological Bulletin, 141(6), 1228."	2015	10.1037/bul0000013	y	group differences	n	y	not sure	2 or more age-groups	y	NA	y	y	y	y	n	y	n	n	n	y	y	y	y	y	n	n	y	y	y	y	n	y	y	n	n	91	abstract	search terms: various combinations of the following terms. seard date: concluded in october 2014	resolved
1	"Rhodes, M. G., & Tauber, S. K. (2011). The influence of delaying judgments of learning on metacognitive accuracy: A meta-analytic review. Psychological bulletin, 137(1), 131."	2011	10.1037/a0021705	n	experimental	n	y	y	both within- and between-subjects	y	NA	y	y	y	y	n	y	n	n	n	y	y	y	y	n	y	n	n	y	n	n	n	n	n	n	n	42	134		
1	"Balliet, D., Li, N. P., Macfarlan, S. J., & Van Vugt, M. (2011). Sex differences in cooperation: a meta-analytic review of social dilemmas. Psychological bulletin, 137(6), 881."	2011	10.1037/a0025354	n	group differences	n	y	n	"only studies using pure social dilemma paradigms were included (i.e., prisoner’s dilemma, public good, and resource dilemma). "	y	NA	y	y	y	y	n	y	n	n	y	y	y	y	y	n 	y	n	n	y	n	y	n	y	n	n	n	187	8		
2	"Wood, W., & Quinn, J. M. (2003). Forewarned and forearmed? Two meta-analysis syntheses of forewarnings of influence appeals. Psychological Bulletin, 129(1), 119."	2003	10.1037//0033-2909.129.1.119	y	experimental	n	n	y	that delivered warnings and also were matched with appropriate control comparisons.	y	NA	y	y	y	y	y	n	n	n	n	y	n	n	y	y	n	n	n	y	n	y	n	y	y	n	n	25	122		
2	"McClure, E. B. (2000). A meta-analytic review of sex differences in facial expression processing and their development in infants, children, and adolescents. Psychological bulletin, 126(3), 424."	2000	10.1037/0033-2909.126.3.424	n	group differences	n	y	n	did not report	NA	NA	y	y	y	y	n	y	n	y	n	y	n	y	y	y	y	n		y	n	n	n	y	y	n	n	58	441		
2	"Thomas, J. J., Vartanian, L. R., & Brownell, K. D. (2009). The relationship between eating disorder not otherwise specified (EDNOS) and officially recognized eating disorders: meta-analysis and implications for DSM. Psychological bulletin, 135(3), 407."	2009	10.1037/a0015326	y	group differences	n	y	NA	did not report	NA	y	y	y	y	y	y	n	n	n	y	y	n	y	y	y	y	n	y	y	n	y	n	y	y	n	n	84	415		
2	"Logan, T. K., Cole, J., & Leukefeld, C. (2002). Women, sex, and HIV: social and contextual factors, meta-analysis of published interventions, and implications for practice and research. Psychological bulletin, 128(6), 851"	2002	10.1037//0033-2909.128.6.851	y	experimental	n	y	y	had posttest outcomes for participants in an intervention and control grou	y	NA	y	n	y	n	y	n	n	n	y	y	y	n	n	y	n	n		y	n	y	n	y	y	n	n	84	861		
2	"Moskowitz, J. T., Hult, J. R., Bussolari, C., & Acree, M. (2009). What works in coping with HIV? A meta-analysis with implications for coping with serious illness. Psychological bulletin, 135(1), 121."	2009	10.1037/a0014210	y	correlation	n	y	NA	did not report	NA	NA	y	y	y	y	y	y	n	n	n	y	y	y	y	y	y	n	n	y	NA	y	n	y	y	y	n	63	127		
2	"Cox, W. M., Fadardi, J. S., & Pothos, E. M. (2006). The addiction-stroop test: Theoretical considerations and procedural recommendations. Psychological bulletin, 132(3), 443."	2006	10.1037/0033-2909.132.3.443	y	experimental	n	y	n	did not report	y	NA	y	n	n	n	n	n	n	n	y	y	y	y	y	y	n	n	n	y	y	y	n	n	y	n	n	89	459		
2	"LaFrance, M., Hecht, M. A., & Paluck, E. L. (2003). The contingent smile: A meta-analysis of sex differences in smiling. Psychological bulletin, 129(2), 305."	2003	10.1037/0033-2909.129.2.305	y	group differences	n	y	NA	did not report	NA	y	y	y	y	y	y	y	n	n	y	y	y	n	y	n	n	n	n	y	n	n	n	n	n	n	n	162	abstract		
2	"Chida, Y., & Hamer, M. (2008). Chronic psychosocial factors and acute physiological responses to laboratory-induced stress in healthy populations: a quantitative review of 30 years of investigations. Psychological bulletin, 134(6), 829."	2008	10.1037/a0013342	y	correlation	y	y	n	did not report	NA	y	y	n	y	y	y	n	n	n	y	y	n	y	y	y	y	y	y	y	NA	y	n	y	y	n	n	161	abstract		
2	"Kangas, M., Bovbjerg, D. H., & Montgomery, G. H. (2008). Cancer-related fatigue: a systematic and meta-analytic review of non-pharmacological therapies for cancer patients. Psychological bulletin, 134(5), 700."	2008	10.1037/a0012825	y	experimental	n	y	y	based on 119 randomized controlled trials (RCTs) and non-RCT studies	y	NA	y	n	y	y	n	n	y	y	y	y	n	n	y	y	y	y	n	y	n	n	n	n	y	y	n	57	abstract		
2	"Bakermans-Kranenburg, M. J., Van Ijzendoorn, M. H., & Juffer, F. (2003). Less is more: meta-analyses of sensitivity and attachment interventions in early childhood. Psychological bulletin, 129(2), 195."	2003	10.1037/0033-2909.129.2.195	n	experimental	n	y	y	"effective. In the current article, we address the following hypotheses in respect to four main assumptions in the domain of attachment-based interventions:"	y	NA	y	y	y	y	n	n	n	n	n	y	y	y	y	n	y	n	n	y	n	n	n	y	y	n	n	70	abstract		
2	"Cooper-Hakim, A., & Viswesvaran, C. (2005). The construct of work commitment: testing an integrative framework. Psychological bulletin, 131(2), 241."	2005	10.1037/0033-2909.131.2.241	n	correlation	n	y	n	did not report	NA	y	y	n	y	y	n	n	n	n	n	y	n	y	y	y	n	y	y	y	NA	n	n	n	n	n	n	997	abstract	997 is not a typo!	
2	"Grabe, S., Ward, L. M., & Hyde, J. S. (2008). The role of the media in body image concerns among women: a meta-analysis of experimental and correlational studies. Psychological bulletin, 134(3), 460."	2008	10.1037/0033-2909.134.3.460	y	correlation	n	y	n	did not report	NA	y	y	y	y	y	y	y	n	n	n	y	n	y	y	y	y	n	n	y	NA	y	n	y	y	n	n	77	abstract		
2	"Howell, R. T., & Howell, C. J. (2008). The relation of economic status to subjective well-being in developing countries: A meta-analysis. Psychological bulletin, 134(4), 536."	2008	10.1037/0033-2909.134.4.536	n	correlation	n	y	n	did not report	NA	y	y	y	y	y	y	y	n	n	n	y	n	y	y	y	y	n	n	y	NA	y	n	y	y	n	n	111	abstract		
2	"Malle, B. F. (2006). The actor-observer asymmetry in attribution: A (surprising) meta-analysis. Psychological Bulletin, 132(6), 895."	2006	10.1037/0033-2909.132.6.895	n	experimental	n	n	n	did not report	y	NA	y	n	y	y	y	y	n	n	y	y	n	n	y	y	y	n	y	y	y	y	y	y	y	y	n	173	abstract		
2	"Lalumiere, M. L., Blanchard, R., & Zucker, K. J. (2000). Sexual orientation and handedness in men and women: a meta-analysis. Psychological bulletin, 126(4), 575."	2000	10.1037//0033-2909.126.4.575	n	group differences	n	y	NA	did not report	NA	y	y	y	n	n	y	n	n	n	n	y	n	y	y	y	n	n	n	y	n	y	y	n	y	n	n	20	abstract		
2	"Bettencourt, B., Charlton, K., Dorr, N., & Hume, D. L. (2001). Status differences and in-group bias: a meta-analytic examination of the effects of status stability, status legitimacy, and group permeability. Psychological bulletin, 127(4), 520."	2001	10.1037//0033-2909.127.4.520	n	correlation	n	n	n	did not report	y	NA	y	y	y	y	y	y	n	n	y	y	n	y	y	y	n	n	n	y	NA	y	n	y	y	n	n	122	530		
2	"Cepeda, N. J., Pashler, H., Vul, E., Wixted, J. T., & Rohrer, D. (2006). Distributed practice in verbal recall tasks: A review and quantitative synthesis. Psychological bulletin, 132(3), 354."	2006	10.1037/0033-2909.132.3.354	y	experimental	n	y	n	did not report	y	NA	y	y	y	y	y	y	n	n	n	y	n	n	n	n	n	n	n	y	n	y	y	y	n	n	n	184	abstract		
